Time consuming,Valve opening,Pressure,Model Predict
0.02,9,4.8,4.8
1.02,9,4.8,4.8
2.03,9,4.8,4.8
3.04,9,4.8,4.8
4.04,9,4.8,4.8
5.05,9,4.7,4.8
6.07,9,4.7,4.7
7.08,9,4.6,4.6
8.10,9,4.6,4.6
9.12,9.0,4.5,4.5
10.13,9,4.5,4.5
11.15,8.3,4.4,4.4
12.17,8.5,4.4,4.4
13.18,8.7,4.4,4.3
14.20,7.8,4.3,4.3
15.22,7.8,4.3,4.3
16.24,8.0,4.3,4.2
17.26,8.1,4.3,4.2
18.27,8.2,4.3,4.2
19.30,8.3,4.3,4.2
20.32,8.4,4.3,4.3
21.33,7.2,4.2,4.2
22.35,7.2,4.2,4.2
23.36,7.2,4.2,4.2
24.39,7.1,4.2,4.2
25.40,7.1,4.2,4.2
26.42,7.1,4.2,4.2
27.44,7.0,4.2,4.2
28.45,7.0,4.2,4.2
29.47,7.0,4.2,4.3
30.48,6.9,4.2,4.3
31.50,6.9,4.2,4.3
32.52,8.1,4.3,4.3
33.54,8.2,4.3,4.3
34.56,8.3,4.3,4.3
35.58,8.4,4.3,4.3
36.59,8.5,4.3,4.4
37.61,8.6,4.3,4.3
38.63,8.7,4.3,4.3
39.64,7.6,4.2,4.3
40.66,7.5,4.2,4.3
41.68,7.5,4.2,4.3
42.70,7.5,4.2,4.3
43.71,7.4,4.2,4.3
44.73,7.4,4.2,4.3
45.75,7.4,4.2,4.3
46.76,7.3,4.2,4.3
47.78,7.3,4.2,4.3
48.80,7.3,4.2,4.3
49.81,7.2,4.2,4.3
50.83,8.4,4.3,4.3
51.85,8.5,4.3,4.3
52.86,8.6,4.3,4.3
53.88,8.7,4.3,4.3
54.90,8.8,4.3,4.3
55.92,8.9,4.3,4.3
56.93,7.8,4.2,4.3
57.95,7.8,4.2,4.3
58.97,7.7,4.2,4.3
59.99,7.7,4.2,4.3
61.01,7.7,4.2,4.3
62.02,7.6,4.2,4.3
63.04,7.6,4.2,4.3
64.05,7.6,4.2,4.3
65.07,7.5,4.2,4.3
66.09,7.5,4.2,4.3
67.10,7.4,4.2,4.3
68.12,7.4,4.2,4.3
69.14,8.6,4.3,4.3
70.15,8.7,4.3,4.3
71.17,8.8,4.3,4.3
72.19,8.9,4.3,4.3
73.21,9,4.3,4.3
74.22,7.9,4.2,4.3
75.24,7.9,4.2,4.3
76.26,7.8,4.2,4.3
77.28,7.8,4.2,4.3
78.30,7.8,4.2,4.2
79.32,7.7,4.2,4.3
80.33,7.7,4.2,4.3
81.35,7.7,4.2,4.3
82.37,7.6,4.2,4.3
83.38,7.6,4.2,4.3
84.40,7.6,4.2,4.3
85.42,7.5,4.2,4.3
86.43,7.5,4.2,4.3
87.45,8.7,4.3,4.3
88.46,8.8,4.3,4.3
89.48,8.9,4.3,4.3
90.50,9.0,4.3,4.3
91.52,9,4.3,4.3
92.54,8.0,4.2,4.3
93.56,8.0,4.2,4.3
94.58,7.9,4.2,4.3
95.60,7.9,4.2,4.3
96.62,7.9,4.2,4.2
97.64,7.8,4.2,4.2
98.66,7.8,4.2,4.2
99.68,7.8,4.2,4.2
100.69,7.7,4.2,4.2
101.71,7.7,4.2,4.3
102.72,7.7,4.2,4.3
103.74,7.6,4.2,4.3
104.76,7.6,4.2,4.3
105.77,7.6,4.2,4.3
106.79,8.8,4.3,4.3
107.81,8.9,4.3,4.3
108.82,9.0,4.3,4.3
109.85,9,4.3,4.3
110.86,9,4.3,4.3
111.89,8.0,4.2,4.3
112.90,7.9,4.2,4.3
113.92,7.9,4.2,4.3
114.94,7.9,4.2,4.2
115.97,7.8,4.2,4.2
116.98,7.8,4.2,4.2
118.00,7.8,4.2,4.2
119.02,7.7,4.2,4.2
120.04,7.7,4.2,4.2
121.05,7.7,4.2,4.2
